Iteration: 1007, Creation Time: 9.62 sec, Embedding Time: 5.87 sec, Workflow Time: 28.42 sec
Iteration: 1008, Creation Time: 9.71 sec, Embedding Time: 1.85 sec, Workflow Time: 14.05 sec
Iteration: 1009, Creation Time: 10.03 sec, Embedding Time: 1.95 sec, Workflow Time: 9.24 sec
Iteration: 1010, Creation Time: 9.96 sec, Embedding Time: 2.02 sec, Workflow Time: 23.53 sec
Iteration: 1011, Creation Time: 9.56 sec, Embedding Time: 1.68 sec, Workflow Time: 31.43 sec
Iteration: 1012, Creation Time: 9.90 sec, Embedding Time: 2.30 sec, Workflow Time: 24.23 sec
Iteration: 1013, Creation Time: 9.52 sec, Embedding Time: 5.70 sec, Workflow Time: 34.30 sec
Iteration: 1014, Creation Time: 9.94 sec, Embedding Time: 2.05 sec, Workflow Time: 37.15 sec
Iteration: 1015, Creation Time: 9.86 sec, Embedding Time: 2.45 sec, Workflow Time: 31.86 sec
Iteration: 1016, Creation Time: 9.65 sec, Embedding Time: 2.14 sec, Workflow Time: 29.39 sec

Iteration: 1008, Creation Time: 9.73 sec, Embedding Time: 3.93 sec, Workflow Time: 40.61 sec
Iteration: 1009, Creation Time: 9.82 sec, Embedding Time: 2.80 sec, Workflow Time: 15.02 sec
Iteration: 1010, Creation Time: 9.78 sec, Embedding Time: 1.76 sec, Workflow Time: 25.89 sec
Iteration: 1011, Creation Time: 9.76 sec, Embedding Time: 3.32 sec, Workflow Time: 15.02 sec
Iteration: 1012, Creation Time: 9.84 sec, Embedding Time: 1.87 sec, Workflow Time: 28.98 sec
Iteration: 1013, Creation Time: 9.61 sec, Embedding Time: 2.59 sec, Workflow Time: 24.19 sec
Iteration: 1014, Creation Time: 9.85 sec, Embedding Time: 1.89 sec, Workflow Time: 20.58 sec
Iteration: 1015, Creation Time: 10.20 sec, Embedding Time: 2.90 sec, Workflow Time: 36.76 sec
Iteration: 1016, Creation Time: 9.32 sec, Embedding Time: 2.71 sec, Workflow Time: 22.26 sec
Iteration: 1017, Creation Time: 9.89 sec, Embedding Time: 1.39 sec, Workflow Time: 23.94 sec

Iteration: 1009, Creation Time: 9.92 sec, Embedding Time: 1.57 sec, Workflow Time: 17.71 sec
Iteration: 1010, Creation Time: 9.73 sec, Embedding Time: 3.25 sec, Workflow Time: 20.37 sec
Iteration: 1011, Creation Time: 9.85 sec, Embedding Time: 1.35 sec, Workflow Time: 19.27 sec
Iteration: 1012, Creation Time: 9.96 sec, Embedding Time: 1.41 sec, Workflow Time: 20.52 sec
Iteration: 1013, Creation Time: 9.73 sec, Embedding Time: 3.02 sec, Workflow Time: 26.15 sec
Iteration: 1014, Creation Time: 9.92 sec, Embedding Time: 2.68 sec, Workflow Time: 30.66 sec
Iteration: 1015, Creation Time: 9.90 sec, Embedding Time: 1.74 sec, Workflow Time: 41.77 sec
Iteration: 1016, Creation Time: 9.73 sec, Embedding Time: 2.63 sec, Workflow Time: 34.22 sec
Iteration: 1017, Creation Time: 10.16 sec, Embedding Time: 1.25 sec, Workflow Time: 27.09 sec
Iteration: 1018, Creation Time: 9.85 sec, Embedding Time: 1.51 sec, Workflow Time: 15.08 sec

Iteration: 1010, Creation Time: 9.82 sec, Embedding Time: 1.82 sec, Workflow Time: 18.28 sec
Iteration: 1011, Creation Time: 9.80 sec, Embedding Time: 1.49 sec, Workflow Time: 18.47 sec
Iteration: 1012, Creation Time: 9.78 sec, Embedding Time: 1.98 sec, Workflow Time: 25.70 sec
Iteration: 1013, Creation Time: 9.72 sec, Embedding Time: 2.26 sec, Workflow Time: 32.62 sec
Iteration: 1014, Creation Time: 9.97 sec, Embedding Time: 1.71 sec, Workflow Time: 26.98 sec
Iteration: 1015, Creation Time: 9.89 sec, Embedding Time: 2.84 sec, Workflow Time: 23.68 sec
Iteration: 1016, Creation Time: 9.75 sec, Embedding Time: 3.42 sec, Workflow Time: 20.16 sec
Iteration: 1017, Creation Time: 9.80 sec, Embedding Time: 5.46 sec, Workflow Time: 24.33 sec
Iteration: 1018, Creation Time: 9.66 sec, Embedding Time: 1.74 sec, Workflow Time: 14.70 sec
Iteration: 1019, Creation Time: 8.81 sec, Embedding Time: 1.92 sec, Workflow Time: 7.33 sec

Iteration: 1011, Creation Time: 9.17 sec, Embedding Time: 2.91 sec, Workflow Time: 12.03 sec
Iteration: 1012, Creation Time: 9.51 sec, Embedding Time: 5.76 sec, Workflow Time: 16.82 sec
Iteration: 1013, Creation Time: 9.55 sec, Embedding Time: 2.03 sec, Workflow Time: 20.21 sec
Iteration: 1014, Creation Time: 9.66 sec, Embedding Time: 1.51 sec, Workflow Time: 12.62 sec
Iteration: 1015, Creation Time: 9.72 sec, Embedding Time: 3.99 sec, Workflow Time: 15.16 sec
Iteration: 1016, Creation Time: 9.73 sec, Embedding Time: 1.38 sec, Workflow Time: 11.76 sec
Iteration: 1017, Creation Time: 9.69 sec, Embedding Time: 1.60 sec, Workflow Time: 19.28 sec
Iteration: 1018, Creation Time: 9.58 sec, Embedding Time: 3.11 sec, Workflow Time: 20.12 sec
Iteration: 1019, Creation Time: 9.37 sec, Embedding Time: 2.46 sec, Workflow Time: 19.00 sec
Iteration: 1020, Creation Time: 9.78 sec, Embedding Time: 4.62 sec, Workflow Time: 34.63 sec

Iteration: 1012, Creation Time: 9.71 sec, Embedding Time: 4.37 sec, Workflow Time: 18.41 sec
Iteration: 1013, Creation Time: 9.77 sec, Embedding Time: 4.03 sec, Workflow Time: 23.11 sec
Iteration: 1014, Creation Time: 9.50 sec, Embedding Time: 1.37 sec, Workflow Time: 22.02 sec
Iteration: 1015, Creation Time: 9.29 sec, Embedding Time: 7.92 sec, Workflow Time: 24.72 sec
Iteration: 1016, Creation Time: 9.35 sec, Embedding Time: 1.74 sec, Workflow Time: 11.38 sec
Iteration: 1017, Creation Time: 9.18 sec, Embedding Time: 2.63 sec, Workflow Time: 13.07 sec
Iteration: 1018, Creation Time: 9.21 sec, Embedding Time: 2.69 sec, Workflow Time: 11.28 sec
Iteration: 1019, Creation Time: 9.56 sec, Embedding Time: 2.11 sec, Workflow Time: 19.69 sec
